epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,57.6377,1.71741,0.82162,0.90825,0.92579,0.92857,0.96175,0.43273,1.82029,1.12196,0.92261,0.00125721,0.00125721,0.00125721
91,58.239,1.71674,0.80518,0.90733,0.91122,0.8961,0.95041,0.44586,1.78141,1.14598,0.9161,0.0012654,0.0012654,0.0012654
92,58.8541,1.74798,0.81061,0.90916,0.90475,0.90467,0.94724,0.42371,1.78689,1.23981,0.92109,0.00127345,0.00127345,0.00127345
93,59.4343,1.71393,0.80985,0.90493,0.90305,0.88716,0.93416,0.3941,1.8526,1.26979,0.933,0.00128138,0.00128138,0.00128138
94,60.0575,1.7448,0.83438,0.90286,0.92392,0.92063,0.96563,0.44741,1.74216,1.20498,0.91889,0.00128917,0.00128917,0.00128917
95,60.6812,1.73455,0.82392,0.91197,0.90536,0.90476,0.95424,0.44386,1.72195,1.11069,0.91534,0.00129682,0.00129682,0.00129682
96,61.3103,1.77024,0.80547,0.90342,0.86881,0.89353,0.92539,0.41018,1.7755,1.08246,0.92722,0.00130435,0.00130435,0.00130435
97,61.943,1.74402,0.81834,0.90423,0.88193,0.88889,0.92936,0.41799,1.76923,1.11354,0.91565,0.00131174,0.00131174,0.00131174
98,62.5732,1.67483,0.78797,0.8975,0.84899,0.8924,0.91591,0.40479,1.7948,1.14697,0.92036,0.00131901,0.00131901,0.00131901
99,63.1778,1.69739,0.83596,0.89064,0.85683,0.87302,0.91451,0.39834,1.75231,1.19844,0.91727,0.00132614,0.00132614,0.00132614
100,63.802,1.71396,0.79727,0.90115,0.88053,0.88889,0.90425,0.40685,1.6969,1.26025,0.91087,0.00133313,0.00133313,0.00133313
101,64.4003,1.6932,0.79021,0.9113,0.87546,0.83685,0.86597,0.34717,1.82636,1.29724,0.92692,0.00134,0.00134,0.00134
102,65.0207,1.68252,0.78143,0.91597,0.86131,0.81746,0.883,0.34508,1.85733,1.30305,0.9243,0.0013334,0.0013334,0.0013334
103,65.6371,1.72014,0.80734,0.90786,0.89821,0.87302,0.91356,0.4151,1.70682,1.24286,0.90273,0.0013268,0.0013268,0.0013268
104,66.2681,1.72469,0.79734,0.91217,0.914,0.89683,0.93259,0.44281,1.6857,1.15134,0.90404,0.0013202,0.0013202,0.0013202
105,66.876,1.69799,0.8032,0.90754,0.90485,0.89683,0.93465,0.41954,1.73576,1.11974,0.90532,0.0013136,0.0013136,0.0013136
106,67.4918,1.66154,0.77533,0.89529,0.85797,0.88095,0.87817,0.35347,1.8361,1.11853,0.92028,0.001307,0.001307,0.001307
107,68.111,1.72008,0.79191,0.91051,0.82244,0.84555,0.87993,0.35555,1.84421,1.14831,0.92912,0.0013004,0.0013004,0.0013004
