epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
138,310.22,1.40443,0.5995,0.87502,0.92232,0.94238,0.95095,0.46547,1.75007,0.79696,0.93014,0.0010958,0.0010958,0.0010958
139,312.425,1.46007,0.60333,0.86619,0.92108,0.92634,0.94813,0.43183,1.80252,0.81797,0.94411,0.0010892,0.0010892,0.0010892
140,314.608,1.48542,0.62782,0.86941,0.89921,0.9205,0.94548,0.42384,1.87538,0.822,0.95475,0.0010826,0.0010826,0.0010826
141,316.792,1.4188,0.60124,0.86686,0.90761,0.9356,0.95643,0.42932,1.86664,0.78302,0.94542,0.001076,0.001076,0.001076
142,319.043,1.38198,0.60205,0.85713,0.94423,0.94063,0.96882,0.47569,1.79178,0.73831,0.93364,0.0010694,0.0010694,0.0010694
143,321.235,1.38569,0.61149,0.85884,0.96742,0.94257,0.97208,0.50198,1.72236,0.79861,0.92113,0.0010628,0.0010628,0.0010628
144,323.432,1.34513,0.59402,0.85205,0.95994,0.95095,0.96655,0.49674,1.67632,0.79408,0.9005,0.0010562,0.0010562,0.0010562
145,325.663,1.30498,0.58354,0.8501,0.95339,0.97407,0.96437,0.49896,1.67559,0.77071,0.90378,0.0010496,0.0010496,0.0010496
146,327.851,1.33545,0.58294,0.85984,0.95977,0.97619,0.97016,0.48487,1.74172,0.7363,0.91439,0.001043,0.001043,0.001043
147,330.049,1.28503,0.56169,0.84763,0.95727,0.99206,0.97596,0.49367,1.78094,0.71186,0.92212,0.0010364,0.0010364,0.0010364
148,332.215,1.3324,0.58193,0.86478,0.96869,0.98218,0.9759,0.50844,1.74108,0.71828,0.91443,0.0010298,0.0010298,0.0010298
149,334.393,1.33386,0.57296,0.85918,0.96706,0.97619,0.9793,0.5131,1.73904,0.73545,0.91126,0.0010232,0.0010232,0.0010232
150,336.636,1.29858,0.56469,0.86317,0.97303,0.96032,0.98054,0.50648,1.76067,0.75803,0.91644,0.0010166,0.0010166,0.0010166
151,338.899,1.2854,0.55258,0.85402,0.96678,0.96825,0.97914,0.49541,1.79521,0.78125,0.92108,0.00101,0.00101,0.00101
152,341.151,1.32178,0.58072,0.85507,0.97561,0.97619,0.98018,0.48704,1.7802,0.76255,0.92002,0.0010034,0.0010034,0.0010034
153,343.375,1.30838,0.56897,0.85643,0.95222,0.99206,0.97842,0.47508,1.73103,0.73142,0.91371,0.0009968,0.0009968,0.0009968
154,345.638,1.34281,0.57335,0.84892,0.94677,0.98824,0.97856,0.47864,1.75263,0.71277,0.91537,0.0009902,0.0009902,0.0009902
155,347.871,1.3328,0.57929,0.85477,0.9457,0.96767,0.96295,0.48541,1.74558,0.73303,0.91454,0.0009836,0.0009836,0.0009836
156,350.088,1.2736,0.57032,0.85208,0.94444,0.92063,0.9481,0.4853,1.72167,0.77433,0.91874,0.000977,0.000977,0.000977
157,352.276,1.3431,0.5901,0.85843,0.95824,0.91052,0.94148,0.4761,1.77466,0.80308,0.92387,0.0009704,0.0009704,0.0009704
158,354.477,1.32881,0.57324,0.85491,0.94105,0.94444,0.95403,0.48946,1.76457,0.79318,0.922,0.0009638,0.0009638,0.0009638
159,356.681,1.32749,0.58409,0.84576,0.95682,0.94444,0.95385,0.49301,1.73431,0.77357,0.9245,0.0009572,0.0009572,0.0009572
160,358.941,1.36319,0.57888,0.85383,0.95264,0.96032,0.96214,0.49953,1.76626,0.78082,0.93032,0.0009506,0.0009506,0.0009506
161,361.123,1.32653,0.55848,0.85199,0.94506,0.95561,0.9629,0.46092,1.84677,0.80501,0.94341,0.000944,0.000944,0.000944
162,363.336,1.37139,0.60519,0.85241,0.92286,0.94444,0.97439,0.44786,1.8557,0.81904,0.93793,0.0009374,0.0009374,0.0009374
163,365.539,1.3193,0.57836,0.85411,0.9529,0.9634,0.97749,0.47668,1.76937,0.76851,0.92263,0.0009308,0.0009308,0.0009308
164,367.728,1.30218,0.55798,0.84811,0.94565,0.9667,0.97257,0.49304,1.69283,0.74873,0.91178,0.0009242,0.0009242,0.0009242
165,369.935,1.30093,0.56984,0.84812,0.97537,0.94286,0.97473,0.51008,1.70638,0.76388,0.90989,0.0009176,0.0009176,0.0009176
166,372.119,1.33093,0.58473,0.85231,0.96716,0.93483,0.97234,0.51835,1.73584,0.75948,0.91589,0.000911,0.000911,0.000911
167,374.575,1.27193,0.57625,0.84974,0.94516,0.95754,0.96903,0.51049,1.77579,0.76168,0.92639,0.0009044,0.0009044,0.0009044
168,376.755,1.23864,0.53418,0.84537,0.94519,0.95802,0.96747,0.50192,1.79572,0.76455,0.93508,0.0008978,0.0008978,0.0008978
169,378.946,1.32111,0.5637,0.84823,0.95271,0.9594,0.97922,0.50319,1.76383,0.75833,0.93123,0.0008912,0.0008912,0.0008912
170,381.175,1.29344,0.58081,0.85689,0.97073,0.96032,0.98294,0.5036,1.74081,0.73765,0.92318,0.0008846,0.0008846,0.0008846
171,383.356,1.28031,0.5607,0.84769,0.9534,0.97425,0.97802,0.51604,1.69543,0.70697,0.91502,0.000878,0.000878,0.000878
172,385.572,1.21146,0.52955,0.84158,0.96022,0.95793,0.97596,0.51952,1.71356,0.70812,0.91718,0.0008714,0.0008714,0.0008714
173,388.028,1.23203,0.54718,0.85315,0.96485,0.96032,0.97095,0.53335,1.68184,0.7224,0.91029,0.0008648,0.0008648,0.0008648
174,390.513,1.23106,0.53814,0.84299,0.95958,0.96825,0.97114,0.54257,1.652,0.72448,0.90922,0.0008582,0.0008582,0.0008582
175,393.086,1.19026,0.52249,0.84229,0.95347,0.97584,0.96827,0.53679,1.68321,0.71853,0.9122,0.0008516,0.0008516,0.0008516
176,395.307,1.21028,0.53319,0.84598,0.9524,0.97619,0.97306,0.54213,1.67651,0.70174,0.91079,0.000845,0.000845,0.000845
177,397.563,1.25497,0.55033,0.8337,0.94535,0.97619,0.97261,0.54234,1.6838,0.67727,0.91559,0.0008384,0.0008384,0.0008384
178,399.795,1.2492,0.54408,0.8364,0.9306,0.95775,0.96573,0.52008,1.75393,0.68173,0.92799,0.0008318,0.0008318,0.0008318
179,402.062,1.27074,0.53028,0.843,0.94522,0.95869,0.97382,0.52978,1.73755,0.69482,0.92408,0.0008252,0.0008252,0.0008252
180,404.289,1.31362,0.56022,0.85754,0.96052,0.96552,0.97584,0.53405,1.69515,0.69395,0.91566,0.0008186,0.0008186,0.0008186
181,406.54,1.21047,0.54131,0.84098,0.95992,0.95238,0.97092,0.52129,1.70648,0.70778,0.92019,0.000812,0.000812,0.000812
182,408.768,1.32357,0.56914,0.84781,0.95996,0.9514,0.97426,0.51524,1.75047,0.72344,0.92832,0.0008054,0.0008054,0.0008054
183,410.943,1.27827,0.55974,0.85314,0.94595,0.96032,0.98062,0.52329,1.73061,0.70836,0.92613,0.0007988,0.0007988,0.0007988
